2711.79926,195.563165,1026.860908
2719.600928,204.7483853,1025.768718
2719.356552,204.7483044,1025.784162
2719.112183,204.7482198,1025.799606
2718.836596,204.7480912,1025.817024
2718.443931,204.7478729,1025.841846
2718.053105,204.7475916,1025.866555
2717.933134,204.7474986,1025.87414
2717.738483,204.7473358,1025.886448
2717.547397,204.7471574,1025.898531
2717.49745,204.7471094,1025.90169
2717.318384,204.746932,1025.913014
2717.147603,204.746746,1025.923816
2717.024547,204.7466062,1025.931599
2715.52303,204.7448305,1026.026574
2714.020365,204.7422918,1026.121672
2712.60857,204.7396667,1026.211035
2710.739174,204.7366938,1026.329329
2708.867836,204.7346336,1026.447687
2708.38311,204.7339457,1026.478355
2707.89824,204.7338733,1026.508991
2707.413356,204.7335825,1026.539643
2707.41305,204.7335878,1026.539662
2707.126249,204.7311345,1026.557941
2706.826472,204.6129597,1026.584591
2706.558757,204.473024,1026.610634
2706.117269,204.1972491,1026.656519
2705.70366,203.8852803,1026.703004
2705.552002,203.7648461,1026.720444
2705.394943,203.6344624,1026.738873
2705.246358,203.507367,1026.756553
2705.246272,203.5072934,1026.756563
2705.043595,203.3339266,1026.780679
2704.822018,203.1524079,1026.806521
2704.597907,202.9814725,1026.831832
2704.361617,202.8207898,1026.857244
2704.361512,202.8207185,1026.857256
2704.122477,202.6581757,1026.882962
2703.874263,202.5079989,1026.908442
2703.620842,202.3799971,1026.932804
2703.342286,202.2742046,1026.957305
2703.073883,202.2693121,1026.974581
2703.073882,202.2693529,1026.974578
2703.070438,201.124035,1027.049525
2703.073278,199.9786842,1027.124077
2703.072122,198.596525,1027.214332
2703.069493,195.6621056,1027.405962
2703.068138,192.7276802,1027.597512
2703.070488,190.9385751,1027.714098
2703.064282,189.1495041,1027.831223
2703.06655,187.3603976,1027.947814
2703.067427,187.3603137,1027.947764
2703.217541,187.3543895,1027.938667
2703.366601,187.3237137,1027.931252
2703.511329,187.2721187,1027.925475
2703.74372,187.1698603,1027.917466
2703.964876,187.0478562,1027.911454
2704.052626,186.9965994,1027.909255
2704.224168,186.8903003,1027.905354
2704.392533,186.7750677,1027.902236
2704.476615,186.7152217,1027.900828
2704.685648,186.5616863,1027.89764
2704.89003,186.4006104,1027.895238
2705.018201,186.2959399,1027.89397
2705.134021,186.1968572,1027.893118
2705.249779,186.0976963,1027.892275
2705.249843,186.0976419,1027.892275
2705.442483,185.9326216,1027.890872
2705.635055,185.7675264,1027.889478
2705.846003,185.6062093,1027.886677
2706.141812,185.3899752,1027.882097
2706.445919,185.2026007,1027.875111
2706.531561,185.1532353,1027.872921
2706.752817,185.033676,1027.866744
2706.985383,184.93421,1027.858542
2707.132602,184.8833989,1027.852556
2707.282877,184.8525656,1027.845074
2707.433147,184.852392,1027.835592
2707.433463,184.8523565,1027.835575
2707.56057,184.8523763,1027.827543
2707.687504,184.8524202,1027.819521
2707.814905,184.8524734,1027.811469
2708.063502,184.8525785,1027.795757
2708.298619,184.8526674,1027.780897
2708.407516,184.8527034,1027.774015
2708.635226,184.8527699,1027.759625
2708.874884,184.8528223,1027.744481
2708.969729,184.8528403,1027.738488
2709.475974,184.8529348,1027.7065
2709.981696,184.8530562,1027.674542
2710.354377,184.8531989,1027.650989
2711.967511,184.8536309,1027.549049
2713.566206,184.8540253,1027.448025
2714.778779,184.8542878,1027.371402
2716.116009,184.8547547,1027.286891
2717.460921,184.8551642,1027.201899
2717.554216,184.8551921,1027.196003
2717.678641,184.8552287,1027.18814
2717.803096,184.8552642,1027.180275
2717.834015,184.8552729,1027.178321
2717.926523,184.8552989,1027.172475
2718.025845,184.855326,1027.166199
2718.101782,184.8553464,1027.1614
2718.242706,184.8553833,1027.152495
2718.372541,184.8554161,1027.14429
2718.4318,184.8554307,1027.140545
2718.727241,184.855503,1027.121876
2719.009576,184.8555681,1027.104035
2719.214558,184.8556157,1027.091082
2719.414547,184.8556655,1027.078444
2719.614569,184.8557229,1027.065804
2719.616314,184.8558149,1027.065688
2719.63132,184.8558237,1027.064739
2719.646258,184.8558733,1027.063792
2719.67013,184.8560302,1027.062274
2719.700091,184.8563292,1027.060361
2719.73011,184.8567901,1027.058435
2719.7451,184.8570612,1027.05747
2719.850056,184.8592421,1027.050697
2719.954912,184.8634087,1027.043801
2720.044693,184.8684378,1027.037801
2720.400671,184.8941843,1027.013632
2720.754249,184.9428229,1026.988121
2721.016599,184.9919212,1026.968343
2721.651769,185.1428655,1026.918367
2722.264485,185.3675449,1026.864998
2722.616797,185.5255408,1026.832432
2723.3395,185.9124777,1026.761528
2723.996262,186.4011057,1026.688154
2724.3226,186.6862025,1026.648936
2724.929276,187.3070612,1026.570099
2725.430224,188.0126012,1026.492417
2725.651592,188.3828968,1026.454271
2725.939176,188.9636246,1026.398211
2726.157082,189.5745313,1026.344585
2726.221747,189.7810549,1026.327024
2726.343033,190.229409,1026.290108
2726.425542,190.6803958,1026.255469
2726.458644,190.9218325,1026.237625
2726.484244,191.1989093,1026.217929
2726.496023,191.4784478,1026.198946
2726.497217,191.5113642,1026.196723
2726.49922,191.5772454,1026.192298
2726.500451,191.6431911,1026.187917
2726.50086,191.6785456,1026.185584
2726.501101,191.708874,1026.18359
2726.501131,191.7421403,1026.181418
2726.501131,191.7424609,1026.181397
2726.501165,192.6620329,1026.121395
2726.501261,193.5816049,1026.061389
2726.501417,194.506488,1026.001033
2726.50165,195.4928787,1025.936659
2726.501952,196.4768122,1025.87244
2726.501973,196.54393,1025.86806
2726.50203,196.7233812,1025.856347
2726.502088,196.8988761,1025.844893
